r,k_95,k_99
19,22,26
11,14,21
21,23,29
25,30,35
7,9,51
17,21,23
5,7,40
12,14,16
7,8,56
5,7,64
11,14,37
10,12,36
18,19,25
18,19,25
8,9,39
6,8,49
22,23,30
19,23,26
16,19,22
23,26,32
11,14,15
24,28,32
23,28,32
14,18,19
8,9,21
18,21,25
9,11,54
20,23,28
24,28,33
13,15,18
24,29,33
18,22,25
10,12,16
5,7,47
24,28,33
12,14,21
22,26,29
10,12,35
6,8,68
5,7,64
19,23,26
5,7,70
7,9,36
5,7,67
15,19,23
12,15,16
6,8,47
17,21,23
11,11,16
16,18,22
7,9,49
5,7,35
25,30,35
25,28,33
24,28,33
16,19,22
11,12,25
13,15,18
10,12,18
12,15,16
9,11,40
12,14,19
21,25,29
20,25,28
24,28,32
14,16,26
12,15,16
8,9,30
21,25,29
9,12,37
9,11,29
6,8,58
18,21,25
6,8,68
17,21,23
13,16,23
25,28,33
12,16,46
7,9,33
7,9,53
11,14,18
22,25,30
7,9,47
25,29,33
21,25,29
21,25,29
12,15,18
16,19,22
24,28,33
12,14,18
22,25,30
23,26,30
19,22,26
17,21,23
19,22,26
9,12,54
15,18,21
22,28,30
7,9,26
22,23,29
14,16,25
17,19,23
25,30,35
22,26,29
19,25,26
7,9,57
24,29,33
8,9,23
9,11,19
12,15,29
6,7,44
7,9,40
17,19,23
8,11,42
16,21,23
10,12,33
10,11,21
23,28,32
22,26,30
14,18,19
18,22,25
13,15,18
19,22,26
25,29,33
15,18,21
25,30,35
19,21,26
10,14,50
25,28,33
6,8,58
15,18,21
18,21,25
19,21,26
7,9,51
13,15,26
16,19,22
14,18,19
6,8,71
20,23,28
13,16,25
21,26,29
6,7,49
22,26,30
23,26,30
25,30,35
12,15,21
12,15,16
18,21,25
24,30,33
13,15,18
11,14,15
25,30,35
7,8,53
15,18,21
14,16,19
7,9,54
15,18,21
7,9,71
10,11,14
6,8,37
9,11,29
8,9,37
15,18,22
17,19,23
11,12,35
23,28,32
19,22,25
19,22,26
20,25,28
8,9,42
10,12,35
13,16,18
10,14,35
6,7,37
9,12,47
12,15,26
9,12,32
13,15,18
14,16,19
25,29,35
5,7,33
23,26,32
9,11,36
25,30,35
7,9,46
8,9,39
18,21,25
20,25,28
11,15,26
18,21,25
9,12,50
21,23,29
13,15,18
18,21,25
7,9,28
10,14,21
22,26,30
23,25,30
24,28,33
19,23,26
12,15,26
18,22,25
21,25,29
24,28,32
6,8,56
9,12,12
18,22,25
7,9,61
11,14,47
16,18,22
17,21,23
23,28,32
16,21,22
14,16,19
5,7,78
13,16,32
12,15,30
10,12,30
21,25,29
18,22,25
7,9,40
10,12,25
5,7,44
7,14,81
19,23,26
17,22,23
11,14,29
19,21,26
23,26,30
8,11,46
17,21,23
7,9,40
16,21,22
13,16,18
25,29,35
11,14,36
5,7,74
23,28,32
15,18,21
14,15,19
9,11,16
7,8,23
9,12,37
23,26,32
13,15,21
25,30,35
5,7,56
15,18,29
6,8,71
23,28,32
25,29,35
14,18,19
12,15,16
25,28,33
19,22,26
15,16,21
12,15,32
13,16,28
19,22,26
22,25,30
17,21,23
11,14,32
18,22,25
21,23,29
24,28,33
13,16,18
17,19,23
15,16,21
10,14,47
25,29,35
15,18,21
24,29,33
21,22,28
11,14,40
16,18,22
8,9,47
17,21,23
18,22,25
19,23,26
11,14,15
9,11,21
24,28,32
11,14,33
23,25,30
20,25,28
12,14,30
16,18,22
19,22,26
10,12,33
22,28,30
12,16,16
7,8,30
8,9,42
22,26,30
12,14,25
12,14,30
25,30,35
10,14,37
23,26,32
12,15,16
23,25,30
14,16,19
25,28,33
11,14,32
8,9,49
6,8,62
20,25,28
23,26,30
16,19,22
15,18,21
11,14,29
9,11,46
12,15,36
22,26,30
16,21,22
15,18,21
15,18,21
18,19,23
11,14,26
14,16,19
5,7,50
11,12,22
13,15,32
7,8,49
24,29,33
14,16,19
5,7,42
22,25,30
24,29,33
23,26,32
7,8,46
16,18,22
25,28,33
22,28,30
21,25,28
14,15,19
12,14,16
19,22,26
20,25,28
14,18,19
14,18,19
17,19,23
10,12,25
8,11,35
9,12,60
7,9,40
11,15,28
8,11,32
13,15,29
11,15,19
14,18,19
21,25,29
15,18,21
16,19,22
17,21,23
15,18,21
13,15,33
15,18,21
5,7,36
18,22,25
11,14,23
22,28,30
5,7,72
11,14,15
24,28,32
8,9,56
23,26,32
16,18,22
14,18,19
19,21,25
20,21,26
13,16,33
15,16,21
11,14,23
21,23,28
6,7,39
9,11,30
11,12,18
9,11,26
25,29,33
7,8,39
6,8,60
11,14,19
21,23,29
7,9,44
24,28,32
7,8,56
12,15,33
15,16,23
13,15,18
19,23,26
18,22,25
11,12,18
16,19,22
8,9,25
20,23,28
14,16,32
20,23,28
15,18,21
20,23,28
18,22,25
23,28,32
18,19,25
